; 1pctCO2,
2000,1232.1508531587242
2001,1244.4723616903113
2002,1256.9170853072146
2003,1269.4862561602868
2004,1282.1811187218896
2005,1295.0029299091084
2006,1307.9529592081997
2007,1321.0324888002815
2008,1334.2428136882843
2009,1347.5852418251673
2010,1361.061094243419
2011,1374.6717051858532
2012,1388.4184222377116
2013,1402.3026064600888
2014,1416.3256325246898
2015,1430.4888888499365
2016,1444.793777738436
2017,1459.2417155158205
2018,1473.8341326709785
2019,1488.5724739976883
2020,1503.4581987376653
2021,1518.492780725042
2022,1533.6777085322922
2023,1549.0144856176155
2024,1564.5046304737916
2025,1580.1496767785293
2026,1595.9511735463147
2027,1611.910685281778
2028,1628.0297921345957
2029,1644.3100900559416
2030,1660.7531909565012
2031,1677.360722866066
2032,1694.134330094727
2033,1711.0756733956741
2034,1728.186430129631
2035,1745.4682944309272
2036,1762.9229773752363
2037,1780.5522071489888
2038,1798.3577292204786
2039,1816.3413065126836
2040,1834.5047195778104
2041,1852.8497667735885
2042,1871.3782644413243
2043,1890.0920470857377
2044,1908.9929675565952
2045,1928.082897232161
2046,1947.3637262044826
2047,1966.8373634665274
2048,1986.5057371011928
2049,2006.3707944722046
2050,2026.434502416927
2051,2046.6988474410962
2052,2067.165835915507
2053,2087.8374942746623
2054,2108.715869217409
2055,2129.803027909583
2056,2151.1010581886785
2057,2172.6120687705657
2058,2194.3381894582712
2059,2216.281571352854
2060,2238.444387066382
2061,2260.8288309370464
2062,2283.437119246417
2063,2306.2714904388813
2064,2329.334205
2065,2352.6275473967025
2066,2376.1538228706695
2067,2399.9153610993762
2068,2423.9145147103704
2069,2448.1536598574735
2070,2472.635196456049
2071,2497.3615484206093
2072,2522.3351639048155
2073,2547.5585155438635
2074,2573.034100699302
2075,2598.764441706295
2076,2624.752086123358
2077,2650.999606984592
2078,2677.5096030544373
2079,2704.284699084982
2080,2731.327546075832
2081,2758.640822
2082,2786.227229751956
2083,2814.089502049476
2084,2842.2303970699704
2085,2870.6527010406703
2086,2899.359228051077
2087,2928.3528203315877
2088,2957.636348534904
2089,2987.2127120202526
2090,3017.084839140455
2091,3047.2556875318596
2092,3077.7282444071784
2093,3108.5055268512506
2094,3139.590582119763
2095,3170.986488
2096,3202.696353
2097,3234.7233163485735
2098,3267.0705495120596
2099,3299.741255
2100,3332.738667557252
2101,3366.0660542328246
2102,3399.7267147751527
2103,3433.7239819229044
2104,3468.0612217421335
2105,3502.741833959555
2106,3537.7692522991506
2107,3573.1469448221424
2108,3608.878414270364
2109,3644.9671984130673
2110,3681.4168703971977
2111,3718.2310391011697
2112,3755.413349492181
2113,3792.9674829871037
2114,3830.8971578169744
2115,3869.206129395144
2116,3907.898190689096
2117,3946.9771725959868
2118,3986.4469443219464
2119,4026.311413765166
2120,4066.574527902818
