"model","scenario","year","value","units","ensemble","variable"
"MRI-ESM2-0","historical",1850,-0.0973587909090479,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1851,-0.0585547909090178,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1852,-0.474186790909088,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1853,0.0160502090908623,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1854,0.0561617090908122,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1855,-0.201904790909088,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1856,-0.0643067909091077,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1857,0.663956709090892,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1858,0.335852709090912,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1859,0.207142209090872,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1860,-0.0212567909091379,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1861,-0.178003790909048,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1862,0.322194209090902,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1863,-0.149411790909088,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1864,-0.144356790909078,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1865,-0.00320879090908788,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1866,0.461174209090882,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1867,0.253381209090872,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1868,-0.749513790909048,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1869,0.225004209090882,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1870,0.296162209090852,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1871,-0.738017790909128,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1872,-0.166027790909088,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1873,0.456243209090922,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1874,1.28640720909082,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1875,-0.551929790909118,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1876,-0.0448517909091479,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1877,0.747608209090852,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1878,-0.475056290909098,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1879,0.197892209090952,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1880,-0.114176790909118,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1881,0.0195832090909223,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1882,-0.286871790909078,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1883,-1.23100379090908,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1884,-1.45441079090907,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1885,0.349378209090882,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1886,-0.273398790909058,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1887,0.489895209090912,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1888,-0.208362790909058,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1889,0.808272209090972,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1890,0.294718209090902,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1891,-0.261512790909068,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1892,0.282830209090902,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1893,0.320756209090952,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1894,0.306938209090882,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1895,0.388666209090952,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1896,-0.0822377909090779,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1897,0.293334209090902,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1898,0.0485992090909719,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1899,-0.748442790909098,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1900,1.10835620909091,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1901,0.545767209090912,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1902,-0.846530790909058,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1903,-0.502751790909078,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1904,0.383481209090912,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1905,-0.489893790909128,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1906,0.183538209090962,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1907,0.372044209090972,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1908,-0.0111017909090978,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1909,0.130346209090952,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1910,-0.450259790909038,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1911,0.572413209090862,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1912,-0.691661790909128,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1913,0.065378209090972,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1914,-0.457523790909078,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1915,0.103161209090892,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1916,0.320555209090912,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1917,0.434618209090892,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1918,0.162554709090882,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1919,0.385211209090882,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1920,-0.197811790909128,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1921,0.150018209090972,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1922,-0.0293307909090479,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1923,-0.861426790909178,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1924,0.657102209090832,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1925,0.0909112090909621,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1926,0.640618209090832,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1927,0.433329209090982,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1928,0.290008209090922,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1929,-0.262144790909098,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1930,0.216812209091002,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1931,0.594813209090902,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1932,1.09966820909094,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1933,0.245756209090872,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1934,1.03063620909097,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1935,-0.0430977909090879,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1936,-0.788343790909058,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1937,0.643048209090842,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1938,-0.426804790909078,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1939,-0.131783790909058,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1940,0.496768209090872,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1941,0.0527872090908619,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1942,0.553355209090982,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1943,0.552537209090922,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1944,-0.0783187909090679,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1945,-0.397159790909118,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1946,0.480138209090892,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1947,0.497638209090852,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1948,-0.389389790909068,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1949,0.847910209090962,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1950,-0.230652790909138,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1951,-0.285923790909058,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1952,-0.866144790909118,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1953,1.1103012090909,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1954,0.516391209090962,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1955,-0.724063790909048,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1956,0.338524209090842,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1957,1.01920120909083,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1958,-0.370459790909038,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1959,-0.441449790909188,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1960,-0.357716790909038,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1961,0.712289209090923,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1962,-0.388856790909108,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1963,-0.732061790909078,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1964,-1.38111679090914,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1965,0.249065209090922,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1966,0.126162209090962,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1967,-0.292244790909038,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1968,-0.0200287909091381,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1969,0.179693209090992,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1970,0.342136209090832,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1971,-0.146871790909018,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1972,0.297088209090922,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1973,-0.394232790909008,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1974,0.515995209090932,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1975,-1.42597379090907,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1976,0.212523209090972,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1977,0.718676209090952,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1978,1.14434320909087,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1979,-0.353931790909108,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1980,0.563498209090892,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1981,-0.279811790909108,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1982,-0.027309790909058,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1983,-0.718521790909068,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1984,0.723897209090962,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1985,0.255817209090942,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1986,-0.545408790909098,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1987,1.17340220909086,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1988,-0.188817290909118,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1989,0.604650209090893,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1990,0.880091209090942,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1991,-1.13211179090903,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1992,-0.636134790909088,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1993,0.261899209090882,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1994,1.30667520909098,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1995,-0.135618790909098,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1996,1.23297520909092,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1997,1.22683120909091,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1998,0.321173209090922,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1999,1.62783970909097,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",2000,1.48137220909086,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",2001,-0.161384790909168,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",2002,1.36390720909098,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",2003,1.47727920909093,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",2004,1.32241320909092,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",2005,-0.227140790909078,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",2006,0.568373209090922,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",2007,0.879551209090942,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",2008,-0.110611790909038,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",2009,0.0147142090909123,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",2010,1.02787820909095,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",2011,1.99460720909095,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",2012,0.569121209090862,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",2013,0.870921209090862,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",2014,1.37685020909094,"W m-2","r1i1p1f1","heatflux"
"MRI-ESM2-0","historical",1850,0.399692709090842,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1851,0.584556209090912,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1852,-0.703495790909118,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1853,-0.175772790909038,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1854,0.669031209090872,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1855,-0.371910790909078,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1856,-0.598506790909048,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1857,0.889553209090962,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1858,-0.459244790909088,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1859,-0.058319790909088,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1860,0.187288209090932,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1861,-0.00964079090907788,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1862,-0.790477790909128,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1863,-0.163497790909068,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1864,0.608736209090922,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1865,-0.181126790909108,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1866,0.391951209090932,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1867,-0.115794790909148,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1868,0.604590209090942,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1869,0.173132209090922,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1870,0.269923209090962,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1871,-0.357305790909108,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1872,0.823158209090862,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1873,0.777391209090832,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1874,0.400002209090842,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1875,0.0277302090909721,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1876,0.0229182090908719,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1877,-1.1842077909091,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1878,0.530183209090902,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1879,-0.234950790909158,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1880,0.193632209090842,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1881,-0.352541790909108,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1882,0.692411209090873,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1883,-2.192099790909,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1884,-1.66775379090908,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1885,0.942327209090962,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1886,-0.443080790909138,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1887,-0.0104477909090681,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1888,0.270049209090942,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1889,0.340326209090962,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1890,0.254595209090852,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1891,-0.697955790909098,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1892,-0.0840117909090878,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1893,1.45578520909089,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1894,0.234156209090792,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1895,0.468545209090972,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1896,-0.198822790909148,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1897,0.348597209090932,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1898,-0.365207790909098,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1899,0.175773209090912,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1900,0.617347209090902,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1901,-0.356197790909028,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1902,-0.0533147909091478,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1903,-1.89752179090902,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1904,0.0651792090909722,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1905,0.818509209090932,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1906,-0.00977379090915775,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1907,0.063171209090962,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1908,0.270204209090822,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1909,1.19083520909094,"W m-2","r2i1p1f1","heatflux"
"MRI-ESM2-0","historical",1910,-0.00057479090912782,"W m-2","r2i1p1f1","heatflux"
