"model","scenario","year","value","units","ensemble","variable"
"CanESM5","historical",1850,0.109211293388438,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1851,0.590516293388418,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1852,-0.0412257066115522,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1853,-0.486005706611592,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1854,-0.248498706611602,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1855,-0.0938027066116218,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1856,0.0706582933884081,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1857,0.00373629338843795,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1858,-0.463212706611602,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1859,0.199107293388378,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1860,0.0095052933885178,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1861,-0.570360706611562,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1862,-0.807029706611642,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1863,-0.104108706611612,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1864,-0.401248706611582,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1865,0.217038293388458,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1866,-0.102137706611602,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1867,-0.767064706611562,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1868,-0.404717706611632,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1869,0.642143293388458,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1870,0.246781293388438,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1871,0.318904293388368,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1872,-0.150026706611552,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1873,-0.582896706611552,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1874,0.155315293388428,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1875,-0.228522706611672,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1876,-0.200463706611562,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1877,-0.042828706611632,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1878,0.0181012933884381,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1879,0.510143293388428,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1880,-0.00403170661155183,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1881,-0.834168706611532,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1882,-0.246108706611562,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1883,-0.906471706611572,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1884,-2.14821470661151,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1885,-0.346923706611552,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1886,0.0815372933884082,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1887,0.466215293388398,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1888,0.349752293388388,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1889,0.422867293388438,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1890,0.140744293388468,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1891,-0.0432387066116022,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1892,-0.292694706611542,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1893,-0.269393706611582,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1894,0.267954293388418,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1895,0.573981293388418,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1896,0.0842412933884278,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1897,0.394278293388438,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1898,-0.587358706611582,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1899,-0.051881706611622,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1900,0.602281293388458,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1901,-0.077653706611502,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1902,-0.652784706611522,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1903,-1.42533270661161,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1904,-0.208491706611542,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1905,-0.323814706611572,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1906,0.375552293388448,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1907,0.709577293388438,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1908,0.664076293388378,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1909,0.838678293388438,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1910,-0.231985706611592,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1911,-0.181124706611552,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1912,-0.607237706611552,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1913,-0.038962706611632,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1914,-0.129351706611642,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1915,0.262078293388438,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1916,0.169661293388458,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1917,-0.049776706611512,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1918,0.104064293388378,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1919,0.793013293388428,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1920,0.294077293388398,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1921,0.0179532933883979,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1922,-0.393390706611512,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1923,0.226561293388468,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1924,0.516474293388418,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1925,-0.100481706611532,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1926,0.312218293388428,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1927,-0.101845706611612,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1928,0.144611293388478,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1929,-0.539974706611572,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1930,-0.267351706611592,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1931,0.0342202933884579,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1932,-0.0997477066116619,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1933,0.194172293388448,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1934,0.0575222933883581,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1935,0.790406793388468,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1936,0.113365293388388,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1937,0.227794293388418,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1938,0.402676293388408,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1939,-0.374335706611502,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1940,-0.148934706611612,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1941,0.286564293388428,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1942,0.494743293388408,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1943,0.631634793388458,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1944,0.345165293388448,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1945,0.0643062933883978,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1946,0.345397293388478,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1947,-0.288652206611662,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1948,0.380747293388428,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1949,-0.226864706611582,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1950,0.280507293388458,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1951,-0.558351706611562,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1952,0.149276293388468,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1953,0.586894293388508,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1954,-0.584546706611562,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1955,0.0600432933884281,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1956,-0.499665706611592,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1957,0.391272293388458,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1958,0.236749293388418,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1959,0.599017293388388,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1960,0.767090293388488,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1961,0.0332122933884178,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1962,-0.199337706611602,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1963,-1.83717770661154,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1964,-0.557640706611592,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1965,-0.0818707066115718,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1966,-0.082313706611572,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1967,-0.185114706611532,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1968,-0.465771206611582,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1969,-0.103886706611542,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1970,0.524342293388388,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1971,-0.0807317066115618,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1972,-0.358329706611582,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1973,0.158142293388468,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1974,0.142275293388368,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1975,0.466621293388458,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1976,0.141866293388378,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1977,0.227825293388438,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1978,0.348303293388398,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1979,0.377737293388368,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1980,0.486774293388398,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1981,0.0583232933884381,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1982,0.0224132933885279,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1983,0.658946293388438,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1984,-0.131808706611552,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1985,0.203200793388528,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1986,0.218936293388438,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1987,1.19106329338848,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1988,0.839361293388478,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1989,0.702570293388388,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1990,0.551096293388458,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1991,-0.136166706611562,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1992,-1.3637767066116,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1993,0.0718972933884081,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1994,1.0365572933884,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1995,1.58815729338844,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1996,0.811109293388398,"W m-2","r15i1p1f1","heatflux"
"CanESM5","historical",1997,0.881832293388438,"W m-2","r15i1p1f1","heatflux"
